name,family,path,type,domain,declared_function,status,quality,contract,use,action,associated_files,notes
advocacy-finder.agent,.github/agents,.github/agents/cycle-01/advocacy-finder.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
audit-bot.agent,.github/agents,.github/agents/cycle-01/audit-bot.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
board-prep-ai.agent,.github/agents,.github/agents/cycle-01/board-prep-ai.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
brand-guardian.agent,.github/agents,.github/agents/cycle-01/brand-guardian.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
budget-fluid.agent,.github/agents,.github/agents/cycle-01/budget-fluid.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
cap-table-manager.agent,.github/agents,.github/agents/cycle-01/cap-table-manager.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
capital-allocator.agent,.github/agents,.github/agents/cycle-01/capital-allocator.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
cash-flow-clairvoyant.agent,.github/agents,.github/agents/cycle-01/cash-flow-clairvoyant.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
churn-deflector.agent,.github/agents,.github/agents/cycle-01/churn-deflector.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
competitor-x-ray.agent,.github/agents,.github/agents/cycle-01/competitor-x-ray.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
crisis-navigator.agent,.github/agents,.github/agents/cycle-01/crisis-navigator.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
culture-pulse.agent,.github/agents,.github/agents/cycle-01/culture-pulse.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
escalation-predictor.agent,.github/agents,.github/agents/cycle-01/escalation-predictor.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
expansion-mapper.agent,.github/agents,.github/agents/cycle-01/expansion-mapper.agent.md,prompt-manifest,cycle-01,﻿,Confuso,Ruim,Inexistente,Morto,Remover,"CAPABILIDADES_100.md, VERTICAL_PERSONAS.md, README.md",mojibake
