"Agent","Cycle","Vertical","Priority","KPI","File"
"Implementer","core","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/implementer.agent.md"
"Planner","core","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/planner.agent.md"
"Reviewer","core","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/reviewer.agent.md"
"AdvocacyFinder","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/advocacy-finder.agent.md"
"AuditBot","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/audit-bot.agent.md"
"BoardPrep AI","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/board-prep-ai.agent.md"
"BrandGuardian","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/brand-guardian.agent.md"
"BudgetFluid","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/budget-fluid.agent.md"
"CapitalAllocator","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/capital-allocator.agent.md"
"CapTableManager","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/cap-table-manager.agent.md"
"CashFlowClairvoyant","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/cash-flow-clairvoyant.agent.md"
"ChurnDeflector","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/churn-deflector.agent.md"
"CompetitorX-Ray","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/competitor-x-ray.agent.md"
"CrisisNavigator","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/crisis-navigator.agent.md"
"CulturePulse","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/culture-pulse.agent.md"
"EscalationPredictor","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/escalation-predictor.agent.md"
"ExpansionMapper","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/expansion-mapper.agent.md"
"JourneyArchitect","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/journey-architect.agent.md"
"MarketSentinel","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/market-sentinel.agent.md"
"NarrativeWeaver","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/narrative-weaver.agent.md"
"PipelineOracle","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/pipeline-oracle.agent.md"
"PricingOptimizer","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/pricing-optimizer.agent.md"
"QuotaArchitect","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/quota-architect.agent.md"
"SentimentAggregator","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/sentiment-aggregator.agent.md"
"SpendController","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/spend-controller.agent.md"
"TaxOptimizer","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/tax-optimizer.agent.md"
"TrendCatcher","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/trend-catcher.agent.md"
"VIPConcierge","cycle-01","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-01/vip-concierge.agent.md"
"AgencyAuditor","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/agency-auditor.agent.md"
"BoardReportingAutomator","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/board-reporting-automator.agent.md"
"BottleneckDetector","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/bottleneck-detector.agent.md"
"BurnRateMonitor","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/burn-rate-monitor.agent.md"
"CapacityPlanner","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/capacity-planner.agent.md"
"ChannelMixer","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/channel-mixer.agent.md"
"ComplianceEnforcer","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/compliance-enforcer.agent.md"
"DealDeskAutopilot","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/deal-desk-autopilot.agent.md"
"ExecutiveSummaryBot","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/executive-summary-bot.agent.md"
"ForecastRollup","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/forecast-rollup.agent.md"
"FXRiskManager","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/fx-risk-manager.agent.md"
"GlobalBrandLocalizer","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/global-brand-localizer.agent.md"
"HealthScoreArchitect","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/health-score-architect.agent.md"
"MarketingTechArchitect","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/marketing-tech-architect.agent.md"
"PlaybookGenerator","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/playbook-generator.agent.md"
"ProcurementPolicyBot","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/procurement-policy-bot.agent.md"
"RenewalForecastEngine","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/renewal-forecast-engine.agent.md"
"RepCoach AI","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/rep-coach-ai.agent.md"
"ResourceBalancer","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/resource-balancer.agent.md"
"ScenarioModeler","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/scenario-modeler.agent.md"
"StrategicPartnerScout","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/strategic-partner-scout.agent.md"
"SupplyChainSync","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/supply-chain-sync.agent.md"
"TerritoryMapper","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/territory-mapper.agent.md"
"TieringOptimizer","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/tiering-optimizer.agent.md"
"VendorNegotiator","cycle-02","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-02/vendor-negotiator.agent.md"
"AccountMapper","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/account-mapper.agent.md"
"CalendarSniper","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/calendar-sniper.agent.md"
"ColdCallScripter","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/cold-call-scripter.agent.md"
"DataCleaner","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/data-cleaner.agent.md"
"EnrichmentBot","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/enrichment-bot.agent.md"
"FollowUpGhost","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/follow-up-ghost.agent.md"
"InboundScorer","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/inbound-scorer.agent.md"
"IntentDecoder","cycle-03","SaaS B2B","crescimento eficiente e retenção","NRR, churn, CAC payback",".github/agents/cycle-03/intent-decoder.agent.md"
